,address,area,city,detail,lat,lng,name,province,street_id,tag,uid,Last_name,type,telephone
0,滨河大道,福田区,深圳市,1,22.52959259,114.0077151,红树林海滨生态公园,广东省,97813f4664f4f1db8bfc06ea,旅游景点;公园,97813f4664f4f1db8bfc06ea,福田红树林生态公园,自然公园,
1,深圳市福田区福强路2088号,福田区,深圳市,1,22.52386296,114.06455,皇岗公园,广东省,169392220e64143a4c554755,旅游景点;公园,169392220e64143a4c554755,皇岗公园,城市公园,(0755)83491286
2,深圳市福田区振华西路1号,福田区,深圳市,1,22.5580816,114.0849042,深圳中心公园,广东省,a79029710a34b34743afe691,旅游景点;公园,a79029710a34b34743afe691,深圳中心公园,城市公园,(0755)83244645
3,深圳市福田区梅岗路26号,福田区,深圳市,1,22.56812297,114.086519,笔架山公园,广东省,a457657e8203fd2f441a32ed,旅游景点;公园,a457657e8203fd2f441a32ed,笔架山公园,城市公园,
4,深圳市福田区红岭中路1001号,福田区,深圳市,1,22.551853,114.109029,荔枝公园,广东省,e458d7f6f221f64d8f1a8958,旅游景点;公园,e458d7f6f221f64d8f1a8958,荔枝公园,城市公园,(0755)82095655
5,广东省深圳市福田区莲花街道莲花北社区红荔路6030号,福田区,深圳市,1,22.55925668,114.0651927,莲花山公园,广东省,171d9b8d15dc68ea9222e09f,旅游景点;公园,171d9b8d15dc68ea9222e09f,莲花山公园,城市公园,(0755)83067950
6,深圳市福田区彩云路18号,福田区,深圳市,1,22.56854898,114.0714087,彩田公园,广东省,cd9d05ddb94cbccb84420e88,旅游景点;公园,cd9d05ddb94cbccb84420e88,彩田公园,城市公园,
7,深圳市福田区深南大道,福田区,深圳市,1,22.54717365,114.0661764,市民广场,广东省,06d2dffd0ed257f688f15d10,休闲娱乐;休闲广场,06d2dffd0ed257f688f15d10,市民广场,城市公园,
8,深圳市福田区梅亭路14号,福田区,深圳市,1,22.56797988,114.0365859,梅林山公园,广东省,4f43af844c0a988fbfa822d9,旅游景点;公园,4f43af844c0a988fbfa822d9,梅林公园,城市公园,(0755)83507209
9,深圳市福田区北环大道与彩田路交叉口,福田区,深圳市,1,22.57259928,114.0756681,深圳革命烈士陵园,广东省,e116be54cd43317bc91b953b,生活服务;殡葬服务,e116be54cd43317bc91b953b,深圳革命烈士陵园,城市公园,
