id,title,key
大梅沙海滨公园,人满为患体验不佳，,体验 一同 漫步 点儿 炎炎夏日 灰尘 火车站 火车 瀑布 激动 演出票 烟味 漂亮 满街 满意 满地 滞留 溪谷 湖贝路 烂尾 烟头 游泳圈 热带 特色 特多 特地去 特区 特别 物价 牛杂
大梅沙海滨公园,大梅沙已经暂停开放了，大家不要被携程骗了！白跑一趟！9月，受台风山竹影响，大梅沙海滨公园受灾严重，进入闭园大修阶段。11月28日，记者从盐田区了解到，在确保运营安全及避免投资浪费的情况下，盐田区工务局会同盐田区城管局及代建单位先行对园区部分设施进行修复，力争2019年5月开放海滨公园部分区域，力争2019年12月底前完成海滨公园的主体重建工作。,盐田区 海滨公园 力争 开放 阶段 先行 确保 投资 代建 受灾 工务局 会同 运营 山竹 主体 白跑一趟 记者 修复 单位 区域 情况 工作 重建 暂停 台风 闭园 影响 浪费 园区 携程
大梅沙海滨公园,如果只是单纯要游泳，还可以，其它的没啥，栈道还没修复好，就海边用绿色铁丝网围住一小块可以游泳，没了，失望，浪费时间，还不如来欢乐海岸，性价比还比较高,游泳 铁丝网 栈道 欢乐 围住 修复 浪费时间 绿色 性价比 失望 炎炎夏日 灰尘 火车站 火车 瀑布 一同 激动 漫步 烂尾 演出票 漂亮 满街 满意 满地 点儿 热带 烟味 爬山虎 特地去 特区
大梅沙海滨公园,里面收费很贵，建议自己携带泳衣，游泳圈，防水袋，水很不干净，里面很多垃圾姨妈巾都有，很多乱七八糟的,游泳圈 防水 姨妈 携带 泳衣 干净 收费 建议 垃圾 牛杂 演出票 特地去 火车站 火车 瀑布 激动 漫步 漂亮 炎炎夏日 满街 满意 满地 滞留 溪谷 灰尘 点儿 牙膏 特区 物价 牌子
大梅沙海滨公园,第一次去深圳！然而去了大梅沙，包放沙滩上被人拿走了，对深圳人民很失望,深圳 包放 拿走 人民 失望 一同 烂尾 点儿 炎炎夏日 灰尘 火车站 火车 瀑布 烟头 激动 漫步 演出票 漂亮 满街 满意 满地 烟味 热气球 热带 牙膏 特色 特多 特地去 特区 特别
大梅沙海滨公园,大梅沙附近最近都有大工程 噪音很大 不要来住海景酒店 没有海浪声 只有工程噪音,噪音 工程 来住 海浪声 海景 酒店 很大 满街 漂亮 烂尾 点儿 滞留 炎炎夏日 满地 灰尘 火车站 火车 瀑布 烟头 激动 漫步 演出票 满意 烟味 热狗 热带 热气球 特多 特地去 特区
大梅沙海滨公园,大梅沙最近施工，封闭了，根本进不去，最早可能1月份以后才开放（据当地执勤人员说）,最早 执勤 施工 进不去 人员 月份 封闭 开放 演出票 漫步 激动 瀑布 烟味 火车站 漂亮 满街 灰尘 炎炎夏日 点儿 烂尾 满意 满地 滞留 火车 一同 溪谷 牌子 特多 特地去 特区
大梅沙海滨公园,闭园！据说去年台风吹毁了部分设施，重建中。,吹毁 重建 闭园 台风 设施 一同 火车 烂尾 点儿 炎炎夏日 灰尘 火车站 激动 瀑布 烟头 漫步 演出票 漂亮 满街 满意 满地 滞留 烟味 热气球 热带 牙膏 特色 特多 特地去 特区
大梅沙海滨公园,我还是喜欢小梅沙！第一次看见大海比较激动，我的第一感觉是挺喜欢的！,喜欢 激动 大海 感觉 瀑布 烟味 烂尾 点儿 炎炎夏日 灰尘 火车站 火车 漫步 热带 演出票 漂亮 满街 满意 满地 滞留 烟头 一同 热气球 牙膏 特色 特多 特地去 特区 特别 物价
大梅沙海滨公园,贵贵贵～出来玩钱不是重点，重点是开心，可这钱花的真不爽，海滩边上那么多人你水走量也能赚死你了标那么贵心吃秤砣了，泳衣质量差，租个伞问多钱问了五遍不理人，谁都不理，旁边的人甩了一百他才开口差五十，买水的服务员也是态度差差差，没啥玩的就一个摩托艇只有两三辆想玩排队等着吧！真恶心的景区,不理 重点 贵贵贵 服务员 秤砣 开口 不爽 摩托艇 贵心 走量 买水 玩钱 泳衣 开心 差差 质量 海滩 态度 恶心 排队 景区 火车站 满地 滞留 满意 溪谷 满街 漂亮 演出票 漫步
大梅沙海滨公园,因为是免费的，什么样的人都有，更衣室地上完全黑水，沙滩海里全是垃圾，也不知道会不会有人吐痰，绝对不要去绝对不要去，去到那里我一看是这样的沙滩一点玩的兴致都没有了,绝对 黑水 更衣室 兴致 吐痰 垃圾 免费 火车 烂尾 点儿 炎炎夏日 灰尘 火车站 漫步 瀑布 激动 演出票 漂亮 满街 满意 满地 滞留 烟味 一同 烟头 牌子 特色 特多 特地去 特区
大梅沙海滨公园,要2019年5月份才开放 现在闭园 沙滩都进不去,进不去 月份 闭园 开放 瀑布 烂尾 点儿 炎炎夏日 灰尘 火车站 火车 一同 漫步 演出票 漂亮 满街 满意 满地 滞留 溪谷 激动 烟头 烟味 牌子 特多 特地去 特区 特别 物价 牛杂
大梅沙海滨公园,除了门票，如果没有自带游水设备，里面有购，但很贵...而且游后冲凉也是要收费的，这个有点坑爹，很多人都说西冲比大梅沙好玩,自带 有购 游水 冲凉 很贵 设备 收费 有点 好玩 门票 牙膏 激动 炎炎夏日 灰尘 火车站 火车 瀑布 漫步 烂尾 演出票 特区 特地去 漂亮 满街 满意 点儿 烟头 烟味 牌子 热带
